subject,path,file_count,status
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_states_split-buttons_pt02++.feat,1871,worked
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_states_split-buttons_pt02+.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_all_paths-rews-split_buttons_pt01.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_all_paths-rews-split_buttons_pt01+.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_all_paths-rews-split_buttons_pt02.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_all_paths-rews-split_buttons_pt02+.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_all-rews-split_buttons_pt01.feat,1927,worked
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_all-rews-split_buttons_pt01+.feat,1927,worked
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_all-rews-split_buttons_pt02.feat,1964,worked
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_all-rews-split_buttons_pt02+.feat,1964,worked
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_split-buttons_pt01.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_split-buttons_pt01++.feat,1659,worked
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_split-buttons_pt01+.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_split-buttons_pt02.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_split-buttons_pt02++.feat,1660,worked
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_split-buttons_pt02+.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_states_split-buttons_pt01.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_states_split-buttons_pt01++.feat,1849,worked
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_states_split-buttons_pt01+.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_states_split-buttons_pt02.feat,3,failed
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_states_split-buttons_pt02++.feat,1812,worked
sub-10,/home/fs0/xpsy1114/scratch/data/derivatives/sub-10/func/glm_fut-steps_states_split-buttons_pt02+.feat,3,failed
sub-11,/home/fs0/xpsy1114/scratch/data/derivatives/sub-11/func/glm_all_paths-rews-split_buttons_pt01.feat,3,failed
sub-11,/home/fs0/xpsy1114/scratch/data/derivatives/sub-11/func/glm_all_paths-rews-split_buttons_pt01+.feat,3,failed
sub-11,/home/fs0/xpsy1114/scratch/data/derivatives/sub-11/func/glm_all_paths-rews-split_buttons_pt02.feat,3,failed
sub-11,/home/fs0/xpsy1114/scratch/data/derivatives/sub-11/func/glm_all_paths-rews-split_buttons_pt02+.feat,3,failed
sub-11,/home/fs0/xpsy1114/scratch/data/derivatives/sub-11/func/glm_all-rews-split_buttons_pt01.feat,2000,worked
sub-11,/home/fs0/xpsy1114/scratch/data/derivatives/sub-11/func/glm_all-rews-split_buttons_pt01+.feat,2000,worked
sub-11,/home/fs0/xpsy1114/scratch/data/derivatives/sub-11/func/glm_all-rews-split_buttons_pt02.feat,1968,worked
sub-11,/home/fs0/xpsy1114/scratch/data/derivatives/sub-11/func/glm_all-rews-split_buttons_pt02+.feat,1968,worked
sub-11,/home/fs0/xpsy1114/scratch/data/derivatives/sub-11/func/glm_fut-steps_split-buttons_pt01.feat,3,failed
